AUTHOR,TITLE,YEAR,SOURCE,DIVISION,PUB_TYPE,KEYWORDS,LINK
"Hoyle SD, Campbell RA, Ducharme-Barth ND, Grüss A, Moore BR, Thorson JT,  Tremblay-Boyer L, Winker H, Zhou S, Maunder MN",Catch per unit effort modelling for stock assessment: A summary of good practices,2024,"Fisheries Research, 269, 106860",FRMD,Journal,,https://doi.org/10.1016/j.fishres.2023.106860
"Escalle L, Scutt Phillips J, Lopez J, Lynch JM, Murua H, Royer SJ,  Swimmer Y, Murua J, Sen Gupta A, Restrepo V, Moreno G",Simulating drifting ﬁsh aggregating device trajectories to identifypotential interactions with endangered sea turtles,2024,"Conservation Biology, e14295",FRMD,Journal,,https://doi.org/10.1111/cobi.14295
"Calhoun-Grosch S, Ruzicka J, Robinson KL, Wang VH, Sutton T, Ainsworth C, Hernandez F","Simulating productivity changes of epipelagic, mesopelagic, and bathypelagic taxa using a depth-resolved, end-to-end food web model for the oceanic Gulf of Mexico",2024,"Ecological Modelling, Volume 489,110623",ESD,Journal,,https://doi.org/10.1016/j.ecolmodel.2024.110623.
Bigelow K,"PICDR-113465
10 Year Aggregate of Hawaiʻi and American Samoa Deep-set Longline Retained in Pacific Remote Islands Area
PICDR-113363
Catch and effort of USA purse seine vessels inside and outside USA EEZ",2024,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-24-05, 4 p",FRMD,Data Report,,https://doi.org/10.25923/fy47-f103
"Hooten MB, Schwob MR, Johnson DS, Ivan JS,",Geostatistical capture–recapture models,2024,"Geostatistical capture–recapture models: Spatial Statistics, 59",PSD,Journal,,https://doi.org/10.1016/j.spasta.2024.100817
"Kindinger TL, Adam TC, Baum JK, Dimoff SA, Hoey AS, Williams ID",Herbivory through the lens of ecological processes across Pacific coral reefs,2024,Ecosphere 15(2): e4791,ESD,Journal,,https://doi.org/10.1002/ecs2.4791
"Hauser S, Robinson S, Latch E",Genomic analysis of population history for Hawaiian monk seals,2024,Endang Species Res 53:327-34,PSD,Journal,,https://doi.org/10.3354/esr01308
Johanos-Kam T,Hawaiian Monk Seal Population Summary 2023,2024,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-24-02, 37 p",PSD,Internal Report,,
"Bohaboy EC, Matthews T",Evaluation of the data available for bottomfish stock assessments in Guam,2024,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-165, 106 p",FRMD,Tech Memo,,https://doi.org/10.25923/mpr8-n910
"Chan HL,  Cai J, Leung P",Aquaculture production and diversification: What causes what?,2024,"Aquaculture, 583, 740626,",ESD,Journal,,https://doi.org/10.1016/j.aquaculture.2024.740626
"Barkley YM, Merkens KPB, Wood M, Oleson EM, Marques TA",Click detection rate variability of central North Pacific sperm whales from passive acoustic towed arrays,2024,J Acoust Soc Am.155(4):2627-2635,PSD,Journal,,10.1121/10.0025540. PMID: 38629884.
Mercer T,"2022 Niihau Monk Seal survey summary report,",2023,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-23-02, 5 p",PSD,Internal Report,,
"Gove, J.M., Williams, G.J., Lecky, J. et al.",Coral reefs benefit from reduced land–sea impacts under ocean warming,2023,"Nature 621, 536–542",ESD,Journal,,https://doi.org/10.1038/s41586-023-06394-w
"Charendoff JA, Couch C, Oliver T, Lamirand M, Amir C, Basden I, Torres-Pulliza D, Asbury M, Winston M, Huntington B, Lichowski F, Osborn N, Ehrenberg J, Garriques J, Samson J",Comparing coral demographic surveys from in situ observations and structure-from-motion photogrammetry on high diversity reefs shows low methodological bias but highlights persistent areas of concern,2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-153, 52 p",ESD,Tech Memo,,https://doi.org/10.25923/8r7f-t404
Schemmel E,Jurisdictional Fish Life History Sample Inventory 2023,2023,"Pacific Islands Fisheries Science Center, PIFSC Administrative Report, H-23-06, 129 p",FRMD,Admin Report,,https://doi.org/10.25923/0t8w-6964
"Watson JT, Ames R, Holycross B, Suter J, Somers K, Kohler C, Corrigan B",Fishery catch records support machine learning-based prediction of illegal fishing off US West Coast,2023,PeerJ 11:e16215,FRMD,Journal,,https://doi.org/10.7717/peerj.16215
"Shaw KR, Balazs GH, Jones TT, Lynch HW, Liu J, Cobb GP, Klein DM, Lynch JM","Green Sea Turtles (Chelonia mydas) accumulate heavy metals near a former skeet shooting range in Kailua, O'ahu, Hawai'i",2023,"Environmental Toxicology. 42,5: 1109-1123",FRMD,Journal,,https://doi.org/10.1002/etc.5601
"Hakala S, Watari S, Uehara S, Akatsuka Y, Methot R, Oozeki Y",Governance and science implementation in fisheries management in Japan as it compares to the United States,2023,"Marine Policy, Volume 155",PSD,Journal,,https://doi.org/10.1016/j.marpol.2023.105670
"Pires R, Aparicio F, Baker JD, Pereira S, Caires N, Cedenilla MA, Harting AL, Menezes D, de Larrinoa PF","First demographic parameter estimates for the Mediterranean monk seal population at Madeira, Portugal",2023,Endang Species Res 51:269-283,PSD,Journal,,https://doi.org/10.3354/esr01260
"Iwane MA, Kleiber D, Leong KM",Multi-stakeholder engagement around territorial bottomfish stock assessment: Perspectives from Hawai'i and Guam,2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-137, 55 p",ESD,Tech Memo,,https://doi.org/10.25923/wytr-mj21
Bradford AL,Injury determinations for marine mammals observed interacting with Hawaii longline fisheries During 2020,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-02, 4 p",PSD,Data Report,,https://doi.org/10.25923/sx2z-st94
Ito R,The Hawaii - California Pelagic Longline Vessels Semi-annual Report 1 July–31 December 2022,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-34, 6 p",FRMD,Data Report,,https://doi.org/10.25923/kwg9-1g37
Ito R,"The Hawaii - California Pelagic Longline Vessels Quarterly Report
1 January–31 March 2022",2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-33, 6 p",FRMD,Data Report,,https://doi.org/10.25923/hjes-q485
Ito R,The Hawaii - California Pelagic Longline Vessels Quarterly Report 1 April–30 June 2022,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-32, 6 p",FRMD,Data Report,,https://doi.org/10.25923/qr9j-xx32
"Ahrens R, Nadon M",An Evaluation of the Status and Management Option for 7 Species of Reef Fish in Guam,2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-155, 71 p",FRMD,Tech Memo,,https://doi.org/10.25923/hks1-gr20
"Woodworth-Jefcoats,P, Jahnke M, Howell EA, Kobayashi DR, Miller C,  Nichols R, Onuma M",Creating pathways for nontraditional graduate students.,2023,Oceanography 36(4):68–69,ESD,Journal,,https://doi.org/10.5670/oceanog.2024.105
"Cai J, Chan HL, Yan X, Leung P",A global assessment of species diversification in aquaculture,2023,"Aquaculture, 576",FRMD,Journal,,https://doi.org/10.1016/j.aquaculture.2023.739837
"Nadon MO, Oshima MC, Bohaboy EC, Carvalho F","Stock assessment of American Samoa bottomfishes, 2023",2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-143, 239 p",FRMD,Tech Memo,,https://doi.org//10.25923/0sd4-9a69
"Scoulding B, Gastauer S, Taylor JC, Boswell KM, Fairclough DV, Jackson G, Sullivan P, Shertzer K, Campanella F, Bacheler N, Campbell M, Domokos R, Schobernd Z, Switzer TS, Jarvis N, Crisafulli BM, Untiedt C, Fernandes PG",Estimating abundance of fish associated with structured habitats by combining acoustics and optics,2023,"Journal of Applied Ecology, 00, 1-12",ESD,Journal,,https://doi.org/10.1111/1365-2664.14412
"Seeley M, Lumsden B, Hall Richard",Western Pacific Regional Fishery Management Council (Council) - Pacific Islands Fisheries Science Center (PIFSC) - Pacific Islands Regional Office (PIRO)  Ecosystem-Based Fisheries Management  Workshop Report,2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-140, 31 p",ESD,Tech Memo,,https://doi.org/10.25923/074n-ec62
"Whitney JL, Coleman RR, Deakos MH","The complete mitochondrial genome of the Reef Manta Ray, Mobula alfredi, from Hawaii",2023,Mitochondrial DNA B Resour. 2;8(2):197-203,ESD,Journal,,https://doi.org/10.1080/23802359.2023.2167475
Chan HL,How climate change and climate variability affected trip distance of a commercial fishery,2023,PLOS Clim 2(2): e0000143.,ESD,Journal,,https://doi.org/10.1371/journal.pclm.0000143
"Ayers A, Leong K, Hospital J, Tam C, Morioka C",2022 American Samoa Fisher Observations Data Summary and Analysis,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-14, 14 p",ESD,Data Report,,https://doi.org/10.25923/vwj1-3z88
"Ayers A, Leong K, Hospital J, Tam C, Morioka C",2022 Guam and CNMI Fisher Observations Data Summary and Analysis,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-13, 21 p",ESD,Data Report,,https://doi.org/10.25923/fxkk-9p79
"Woodworth-Jefcoats P, Jacobs A, Ahrens R, Barkley H, Barlow A, Bolen L, Carvalho F, Chung A, Crigler E, DeMello J, Fitchett M, Fox M, Asuka I, Larin P, Lumsden B, Makaiau J, McGregor M, Oliver T, O’Malley J, Richards B, Robinson S, Sabater M, Sculley M, Seeley M, Sweeney J, Tanaka K, Taylor K, Yamada Z",Pacific Islands Regional Action Plan to Implement the NOAA Fisheries Climate Science Strategy Through 2024,2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-142, 35 p",ESD,Tech Memo,,https://doi.org/10.25923/2jjs-tx42
"Bigelow K, Salmu P",Catch and effort of USA purse seine vessels inside and outside USA EEZ,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-04, 15 p",FRMD,Data Report,,https://doi.org/10.25923/rbhr-xh59
"Trianni M, DeMartini E, Taylor B","Life history characteristics and status of the Pacific yellowtail emperor, Lethrinus atkinsoni (Seale 1910), in the Commonwealth of the Northern Mariana Islands",2023,"Aquaculture, Fish and Fisheries",SOD,Journal,,https://www.researchgate.net/publication/368806498_Life_history_characteristics_and_status_of_the_Pacific_yellowtail_emperor_Lethrinus_atkinsoni_Seale_1910_in_the_commonwealth_of_the_Northern_Mariana_Islands
"Ma H, Matthews T, Syslo J",Non-commercial catch estimates of Deep 7 bottomfish and uku in the main Hawaiian Islands (2018–2022),2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-03, 6p",FRMD,Data Report,,https://doi.org/10.25923/t7nz-1315
"Halperin AA, Lichowski F , Morioka J, O'Brien K, Suka R, Huntington B",Coral cover remains suppressed three years after derelict net removal in a remote shallow water coral reef ecosystem,2023,Marine Pollution Bulletin. Volume 188: 114703,ESD,Journal,,https://doi.org/10.1016/j.marpolbul.2023.114703
"Pawluk M, Matthews T, Ahrens R",Exploring bias and precision in the Guam and CNMI Boat-based creel survey design: a simulation study,2023,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-23-09, 19 p",FRMD,Internal Report,,
"Oleson, EM, Bradford, AL, Martien, KM",Developing a management area for Hawaiʻi pelagic false killer whales,2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-150, 25 p",PSD,Tech Memo,,https://doi.org/10.25923/c9qv-2v95
"Parke M, Lumsden B, Biedron I, Rykaczewski R, Woodworth-Jefcoats P, Wren J, Tanaka K, Aryans R, Ruzicka J, O’Malley J, Dombrow C",Ecosystem-based Fisheries Science in a Data-limited Region,2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-141, 37 p",ESD,Tech Memo,,https://doi.org/10.25923/2aec-eb81
"Ingeman K, Kindinger TL",American Samoa JCR-FMP: PIFSC ESD analysis,2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-146, 27 p",ESD,Tech Memo,,https://doi.org/10.25923/7f0d-q794
